"Name","Abundance in Blood (uM)","Melting Point (°C)","Boiling Point (°C)","Solubility (mg/mL)","LogP","Monoisotopic Molecular Weight (Da)"
"Phenylacetylglutamine","3.34 +/- 0.31","N/A","N/A","0.39 g/L","-0.35","264.11100701"
"L-Glyceric acid","2.0 (0.0-5.0)","N/A","N/A","639 g/L","-1.72","106.02660868"
"Ecgonine methyl ester","0.237 +/- 0.0150","N/A","N/A","587 g/L","0.14","199.120843415"
"Linoelaidylcarnitine","0.020-0.110","N/A","N/A","8.620E-06 g/L","N/A","424.342135385"
"Leukotriene F4","0.000305 +/- 0.000069 ","N/A","N/A","0.003 g/L","0.69","568.281837084"
"4-Hydroxydebrisoquine","0.217 +/- 0.021","N/A","N/A","1.06 g/L","-0.27","191.105862053"
"Linoleyl carnitine","0.06 +/- 0.03","N/A","N/A","8.620E-06 g/L","1.46","424.342135385"
"Isovaleraldehyde","0.11 (0.0-0.34)","-51 °C","90.00 to   93.00 °C. @  760.00 mm Hg","14 mg/mL at 20 °C","1.267 (est)","86.073164942"
"D-Aspartic acid","16.0 +/- 3.0","N/A","264.12 °C. @  760.00 mm Hg (est)","1e+006 mg/L @ 25 °C (est)","-1.075 (est)","133.037507717"
"Docosapentaenoic acid (22n-3)","39.334 +/- 6.0514","N/A","N/A","1.180E-04 g/L","7.08","330.255880332"
"Debrisoquine","0.149 +/- 0.087","278 - 280 °C","N/A","0.84 g/L","0.75","175.110947431"
"Stearidonic acid","0.408 +/- 0.4","N/A","382.50 °C. @  760.00 mm Hg (est)","0.03717 mg/L @ 25 °C (est)","5.890 (est)","276.20893014"
"Aflatoxin B1","0.0009 +/- 0.00097","N/A","N/A","0.23 g/L","1.73","312.063388116"
"Heptaglutamyl folic acid","0.0076 (0.0038-0.0115)","N/A","N/A","0.56 g/L","-2.86","1344.43783304"
"Coenzyme Q9","0.29 +/- 0.04","N/A","N/A","2.180E-04 g/L","9.73","794.621311112"
"CE(14:0)","80 +/- 2","N/A","630.67 °C. @  760.00 mm Hg (est)","7.438e-012 mg/L @ 25 °C (est)","16.656 (est)","596.553231548"
