"Name","Abundance in Blood (uM)","Melting Point (°C)","Boiling Point (°C)","Solubility (mg/mL)","LogP","Monoisotopic Molecular Weight (Da)"
"PC(20:2(11Z,14Z)/14:0)","315 (269-369)","N/A","N/A","2.540E-05 g/L","5.46","757.562155053"
"PC(20:2(11Z,14Z)/14:1(9Z))","11 (8.46-13.9)","N/A","N/A","2.960E-05 g/L","5.40","755.546504989"
"PC(20:2(11Z,14Z)/16:0)","212 (183-244)","N/A","N/A","2.220E-05 g/L","5.78","785.593455181"
"PC(20:2(11Z,14Z)/16:1(9Z))","106 (89.5-120)","N/A","N/A","2.620E-05 g/L","5.72","783.577805117"
"PC(20:2(11Z,14Z)/18:1(11Z))","32.8 (26.5-38.5)","N/A","N/A","2.350E-05 g/L","6.00","811.609105245"
"PC(20:2(11Z,14Z)/18:1(9Z))","32.8 (26.5-38.5)","N/A","N/A","2.350E-05 g/L","6.01","811.609105245"
"PC(20:2(11Z,14Z)/18:2(9Z,12Z))","76.6 (65.9-90.8)","N/A","N/A","2.900E-05 g/L","5.99","809.593455181"
"PC(20:2(11Z,14Z)/18:3(6Z,9Z,12Z))","36.2 (28.8-42.9)","N/A","N/A","2.840E-05 g/L","5.91","807.577805117"
"PC(20:2(11Z,14Z)/18:3(9Z,12Z,15Z))","36.2 (28.8-42.9)","N/A","N/A","2.850E-05 g/L","5.88","807.577805117"
"PC(20:2(11Z,14Z)/18:4(6Z,9Z,12Z,15Z))","49.1 (37.8-60.8)","N/A","N/A","3.070E-05 g/L","5.71","805.562155053"
"PC(20:2(11Z,14Z)/20:0)","0.29 (0.25-0.35)","N/A","N/A","2.340E-05 g/L","6.39","841.656055437"
"PC(20:2(11Z,14Z)/20:1(11Z))","0.49 (0.43-0.58)","N/A","N/A","2.270E-05 g/L","6.29","839.640405373"
"PC(20:2(11Z,14Z)/20:2(11Z,14Z))","3 (2.41-3.61)","N/A","N/A","2.740E-05 g/L","6.29","837.624755309"
"PC(20:2(11Z,14Z)/20:3(5Z,8Z,11Z))","13.85(4.15)","N/A","N/A","2.750E-05 g/L","6.30","835.609105245"
"PC(20:2(11Z,14Z)/20:3(8Z,11Z,14Z))","13.85(4.15)","N/A","N/A","2.790E-05 g/L","6.26","835.609105245"
"PC(20:2(11Z,14Z)/20:4(5Z,8Z,11Z,14Z))","27.8 +/- 8.8","N/A","N/A","2.960E-05 g/L","6.10","833.593455181"
"PC(20:2(11Z,14Z)/20:4(8Z,11Z,14Z,17Z))","27.8 +/- 8.8","N/A","N/A","2.970E-05 g/L","6.07","833.593455181"
"PC(20:2(11Z,14Z)/22:0)","0.2 (0.17-0.24)","N/A","N/A","2.090E-05 g/L","6.63","869.687355565"
"PC(20:2(11Z,14Z)/22:2(13Z,16Z))","0.2 (0.17-0.23)","N/A","N/A","2.710E-05 g/L","6.52","865.656055437"
"PC(20:2(11Z,14Z)/22:4(7Z,10Z,13Z,16Z))","0.61 (0.51-0.71)","N/A","N/A","2.930E-05 g/L","6.39","861.624755309"
"PC(20:2(11Z,14Z)/P-16:0)","44.5 (37.6-53.3)","N/A","N/A","2.560E-05 g/L","6.18","769.598540559"
"PC(20:2(11Z,14Z)/P-18:1(11Z))","36.1 (31-41.9)","N/A","N/A","2.710E-05 g/L","6.41","795.614190623"
"PC(20:2(11Z,14Z)/P-18:1(9Z))","36.1 (31-41.9)","N/A","N/A","2.710E-05 g/L","6.42","795.614190623"
"PC(20:3(5Z,8Z,11Z)/14:0)","2.8 (2.33-3.53)","N/A","N/A","2.910E-05 g/L","5.49","755.546504989"
"PC(20:3(5Z,8Z,11Z)/14:1(9Z))","0.52 (0.43-0.62)","N/A","N/A","3.190E-05 g/L","5.34","753.530854925"
"PC(20:3(5Z,8Z,11Z)/16:0)","63.7 (53.6-73.5)","N/A","N/A","2.720E-05 g/L","5.81","783.577805117"
"PC(20:3(5Z,8Z,11Z)/16:1(9Z))","135 (118-151)","N/A","N/A","3.100E-05 g/L","5.73","781.562155053"
"PC(20:3(5Z,8Z,11Z)/18:0)","36.1 (31-41.9)","N/A","N/A","2.330E-05 g/L","6.10","811.609105245"
"PC(20:3(5Z,8Z,11Z)/18:1(11Z))","90.4 (78.8-104)","N/A","N/A","2.840E-05 g/L","6.06","809.593455181"
"PC(20:3(5Z,8Z,11Z)/18:1(9Z))","90.4 (78.8-104)","N/A","N/A","2.840E-05 g/L","6.04","809.593455181"
"PC(20:3(5Z,8Z,11Z)/18:2(9Z,12Z))","21.8 (18.8-25.2)","N/A","N/A","2.840E-05 g/L","5.91","807.577805117"
"PC(20:3(5Z,8Z,11Z)/18:3(6Z,9Z,12Z))","60.6 (50.1-72.9 )","N/A","N/A","3.090E-05 g/L","5.77","805.562155053"
"PC(20:3(5Z,8Z,11Z)/18:3(9Z,12Z,15Z))","60.6 (50.1-72.9 )","N/A","N/A","3.090E-05 g/L","5.74","805.562155053"
"PC(20:3(5Z,8Z,11Z)/20:0)","0.54 (0.46-0.64)","N/A","N/A","1.900E-05 g/L","6.39","839.640405373"
"PC(20:3(5Z,8Z,11Z)/20:1(11Z))","2.59 (2.16-3.19)","N/A","N/A","2.690E-05 g/L","6.35","837.624755309"
"PC(20:3(5Z,8Z,11Z)/20:2(11Z,14Z))","13.85(4.15)","N/A","N/A","2.750E-05 g/L","6.29","835.609105245"
"PC(20:3(5Z,8Z,11Z)/20:3(5Z,8Z,11Z))","27.8 +/- 8.8","N/A","N/A","2.990E-05 g/L","6.18","833.593455181"
"PC(20:3(5Z,8Z,11Z)/20:3(8Z,11Z,14Z))","27.8 +/- 8.8","N/A","N/A","2.950E-05 g/L","6.11","833.593455181"
"PC(20:3(5Z,8Z,11Z)/22:1(13Z))","0.24 (0.2-0.32)","N/A","N/A","2.690E-05 g/L","6.59","865.656055437"
"PC(20:3(5Z,8Z,11Z)/22:2(13Z,16Z))","0.30 (0.25-0.36)","N/A","N/A","2.950E-05 g/L","6.59","863.640405373"
"PC(20:3(5Z,8Z,11Z)/P-16:0)","63.7 (53.6-73.5)","N/A","N/A","3.070E-05 g/L","6.18","767.582890495"
"PC(20:3(5Z,8Z,11Z)/P-18:0)","36.1 (31-41.9)","N/A","N/A","3.000E-05 g/L","6.48","795.614190623"
"PC(20:3(5Z,8Z,11Z)/P-18:1(11Z))","90.4 (78.8-104)","N/A","N/A","3.400E-05 g/L","6.40","793.598540559"
"PC(20:3(5Z,8Z,11Z)/P-18:1(9Z))","90.4 (78.8-104)","N/A","N/A","3.400E-05 g/L","6.40","793.598540559"
"PC(20:3(8Z,11Z,14Z)/14:0)","2.8 (2.33-3.53)","N/A","N/A","2.930E-05 g/L","5.43","755.546504989"
"PC(20:3(8Z,11Z,14Z)/14:1(9Z))","0.52 (0.43-0.62)","N/A","N/A","3.230E-05 g/L","5.30","753.530854925"
"PC(20:3(8Z,11Z,14Z)/16:0)","63.7 (53.6-73.5)","N/A","N/A","2.620E-05 g/L","5.75","783.577805117"
"PC(20:3(8Z,11Z,14Z)/16:1(9Z))","135 (118-151)","N/A","N/A","3.170E-05 g/L","5.69","781.562155053"
"PC(20:3(8Z,11Z,14Z)/18:0)","36.1 (31-41.9)","N/A","N/A","2.350E-05 g/L","6.04","811.609105245"
"PC(20:3(8Z,11Z,14Z)/18:1(11Z))","90.4 (78.8-104)","N/A","N/A","2.890E-05 g/L","6.01","809.593455181"
"PC(20:3(8Z,11Z,14Z)/18:1(9Z))","90.4 (78.8-104)","N/A","N/A","2.890E-05 g/L","6.02","809.593455181"
"PC(20:3(8Z,11Z,14Z)/18:2(9Z,12Z))","21.8 (18.8-25.2)","N/A","N/A","2.850E-05 g/L","5.89","807.577805117"
"PC(20:3(8Z,11Z,14Z)/18:3(6Z,9Z,12Z))","60.6 (50.1-72.9 )","N/A","N/A","3.080E-05 g/L","5.71","805.562155053"
"PC(20:3(8Z,11Z,14Z)/18:3(9Z,12Z,15Z))","60.6 (50.1-72.9 )","N/A","N/A","3.110E-05 g/L","5.70","805.562155053"
"PC(20:3(8Z,11Z,14Z)/20:0)","0.54 (0.46-0.64)","N/A","N/A","1.950E-05 g/L","6.33","839.640405373"
"PC(20:3(8Z,11Z,14Z)/20:2(11Z,14Z))","13.85(4.15)","N/A","N/A","2.790E-05 g/L","6.25","835.609105245"
"PC(20:3(8Z,11Z,14Z)/20:3(5Z,8Z,11Z))","27.8 +/- 8.8","N/A","N/A","2.950E-05 g/L","6.11","833.593455181"
"PC(20:3(8Z,11Z,14Z)/20:3(8Z,11Z,14Z))","27.8 +/- 8.8","N/A","N/A","2.980E-05 g/L","6.08","833.593455181"
"PC(20:3(8Z,11Z,14Z)/22:1(13Z))","0.24 (0.2-0.32)","N/A","N/A","2.710E-05 g/L","6.55","865.656055437"
"PC(20:3(8Z,11Z,14Z)/22:2(13Z,16Z))","0.30 (0.25-0.36)","N/A","N/A","2.770E-05 g/L","6.56","863.640405373"
"PC(20:3(8Z,11Z,14Z)/P-16:0)","63.7 (53.6-73.5)","N/A","N/A","3.160E-05 g/L","6.13","767.582890495"
"PC(20:3(8Z,11Z,14Z)/P-18:0)","36.1 (31-41.9)","N/A","N/A","2.770E-05 g/L","6.44","795.614190623"
"PC(20:3(8Z,11Z,14Z)/P-18:1(11Z))","90.4 (78.8-104)","N/A","N/A","3.430E-05 g/L","6.35","793.598540559"
"PC(20:3(8Z,11Z,14Z)/P-18:1(9Z))","90.4 (78.8-104)","N/A","N/A","3.430E-05 g/L","6.36","793.598540559"
"PC(20:4(5Z,8Z,11Z,14Z)/14:0)","0.52 (0.43-0.62)","N/A","N/A","3.180E-05 g/L","5.36","753.530854925"
"PC(20:4(5Z,8Z,11Z,14Z)/16:0)","135 (118-151)","N/A","N/A","3.080E-05 g/L","5.75","781.562155053"
"PC(20:4(5Z,8Z,11Z,14Z)/16:1(9Z))","5.2 (4.18-6.71)","N/A","N/A","3.090E-05 g/L","5.57","779.546504989"
"PC(20:4(5Z,8Z,11Z,14Z)/18:0)","90.4 (78.8-104)","N/A","N/A","2.830E-05 g/L","6.06","809.593455181"
"PC(20:4(5Z,8Z,11Z,14Z)/18:1(11Z))","21.8 (18.8-25.2)","N/A","N/A","2.840E-05 g/L","5.92","807.577805117"
"PC(20:4(5Z,8Z,11Z,14Z)/18:1(9Z))","21.8 (18.8-25.2)","N/A","N/A","2.840E-05 g/L","5.92","807.577805117"
"PC(20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z))","60.6 (50.1-72.9 )","N/A","N/A","3.110E-05 g/L","5.73","805.562155053"
"PC(20:4(5Z,8Z,11Z,14Z)/20:0)","2.59 (2.16-3.19)","N/A","N/A","2.670E-05 g/L","6.39","837.624755309"
"PC(20:4(5Z,8Z,11Z,14Z)/20:1(11Z))","13.85(4.15)","N/A","N/A","2.750E-05 g/L","6.30","835.609105245"
"PC(20:4(5Z,8Z,11Z,14Z)/20:2(11Z,14Z))","27.8 +/- 8.8","N/A","N/A","2.960E-05 g/L","6.09","833.593455181"
"PC(20:4(5Z,8Z,11Z,14Z)/22:0)","0.24 (0.2-0.32)","N/A","N/A","2.690E-05 g/L","6.63","865.656055437"
"PC(20:4(5Z,8Z,11Z,14Z)/22:1(13Z))","0.30 (0.25-0.36)","N/A","N/A","2.920E-05 g/L","6.60","863.640405373"
"PC(20:4(5Z,8Z,11Z,14Z)/22:2(13Z,16Z))","0.44 (0.39-0.5)","N/A","N/A","2.920E-05 g/L","6.43","861.624755309"
"PC(20:4(5Z,8Z,11Z,14Z)/P-16:0)","135 (118-151)","N/A","N/A","3.400E-05 g/L","6.09","765.567240431"
"PC(20:4(5Z,8Z,11Z,14Z)/P-18:0)","90.4 (78.8-104)","N/A","N/A","3.430E-05 g/L","6.43","793.598540559"
"PC(20:4(5Z,8Z,11Z,14Z)/P-18:1(11Z))","21.8 (18.8-25.2)","N/A","N/A","3.680E-05 g/L","6.32","791.582890495"
"PC(20:4(5Z,8Z,11Z,14Z)/P-18:1(9Z))","21.8 (18.8-25.2)","N/A","N/A","3.670E-05 g/L","6.33","791.582890495"
"PC(20:4(8Z,11Z,14Z,17Z)/14:0)","0.52 (0.43-0.62)","N/A","N/A","3.220E-05 g/L","5.32","753.530854925"
"PC(20:4(8Z,11Z,14Z,17Z)/16:0)","135 (118-151)","N/A","N/A","3.150E-05 g/L","5.73","781.562155053"
"PC(20:4(8Z,11Z,14Z,17Z)/16:1(9Z))","5.2 (4.18-6.71)","N/A","N/A","3.070E-05 g/L","5.54","779.546504989"
"PC(20:4(8Z,11Z,14Z,17Z)/18:0)","90.4 (78.8-104)","N/A","N/A","2.860E-05 g/L","6.04","809.593455181"
"PC(20:4(8Z,11Z,14Z,17Z)/18:1(11Z))","21.8 (18.8-25.2)","N/A","N/A","2.850E-05 g/L","5.89","807.577805117"
"PC(20:4(8Z,11Z,14Z,17Z)/18:1(9Z))","21.8 (18.8-25.2)","N/A","N/A","2.840E-05 g/L","5.90","807.577805117"
"PC(20:4(8Z,11Z,14Z,17Z)/18:2(9Z,12Z))","60.6 (50.1-72.9 )","N/A","N/A","3.110E-05 g/L","5.70","805.562155053"
"PC(20:4(8Z,11Z,14Z,17Z)/20:0)","2.59 (2.16-3.19)","N/A","N/A","2.700E-05 g/L","6.32","837.624755309"
"PC(20:4(8Z,11Z,14Z,17Z)/20:1(11Z))","13.85(4.15)","N/A","N/A","2.780E-05 g/L","6.27","835.609105245"
"PC(20:4(8Z,11Z,14Z,17Z)/20:2(11Z,14Z))","27.8 +/- 8.8","N/A","N/A","2.970E-05 g/L","6.08","833.593455181"
"PC(20:4(8Z,11Z,14Z,17Z)/22:0)","0.24 (0.2-0.32)","N/A","N/A","2.710E-05 g/L","6.61","865.656055437"
"PC(20:4(8Z,11Z,14Z,17Z)/22:1(13Z))","0.30 (0.25-0.36)","N/A","N/A","2.830E-05 g/L","6.57","863.640405373"
"PC(20:4(8Z,11Z,14Z,17Z)/22:2(13Z,16Z))","0.44 (0.39-0.5)","N/A","N/A","2.930E-05 g/L","6.40","861.624755309"
"PC(20:4(8Z,11Z,14Z,17Z)/P-16:0)","135 (118-151)","N/A","N/A","3.460E-05 g/L","6.07","765.567240431"
"PC(20:4(8Z,11Z,14Z,17Z)/P-18:0)","90.4 (78.8-104)","N/A","N/A","3.400E-05 g/L","6.41","793.598540559"
"PC(20:4(8Z,11Z,14Z,17Z)/P-18:1(11Z))","21.8 (18.8-25.2)","N/A","N/A","3.530E-05 g/L","6.27","791.582890495"
"PC(20:4(8Z,11Z,14Z,17Z)/P-18:1(9Z))","21.8 (18.8-25.2)","N/A","N/A","3.530E-05 g/L","6.29","791.582890495"
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/16:0)","5.2 (4.18-6.71)","N/A","N/A","3.060E-05 g/L","5.61","779.546504989"
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/16:1(9Z))","1.16 +/- 0.47","N/A","N/A","3.330E-05 g/L","5.40","777.530854925"
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/18:0)","81.9(19.68)","N/A","N/A","2.820E-05 g/L","5.97","807.577805117"
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/18:1(11Z))","103.41(31.68)","N/A","N/A","3.090E-05 g/L","5.74","805.562155053"
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/18:1(9Z))","103.41(31.68)","N/A","N/A","3.090E-05 g/L","5.75","805.562155053"
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:0)","13.85(4.15)","N/A","N/A","2.730E-05 g/L","6.34","835.609105245"
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:1(11Z))","36.08(11.41)","N/A","N/A","2.940E-05 g/L","6.14","833.593455181"
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/22:0)","0.45(0.13)","N/A","N/A","2.730E-05 g/L","6.65","863.640405373"
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/22:1(13Z))","0.79(0.16)","N/A","N/A","2.940E-05 g/L","6.47","861.624755309"
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/P-16:0)","46.61(21.41)","N/A","N/A","3.960E-05 g/L","5.99","763.551590367"
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/P-18:0)","81.9(19.68)","N/A","N/A","3.670E-05 g/L","6.36","791.582890495"
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/P-18:1(11Z))","103.41(31.68)","N/A","N/A","3.910E-05 g/L","6.11","789.567240431"
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/P-18:1(9Z))","103.41(31.68)","N/A","N/A","3.910E-05 g/L","6.12","789.567240431"
"PC(22:0/14:0)","3.14(1.2)","N/A","N/A","2.150E-05 g/L","5.93","789.624755309"
"PC(22:0/14:1(9Z))","60.62(19.39)","N/A","N/A","1.940E-05 g/L","5.91","787.609105245"
"PC(22:0/16:0)","3.48 +/- 0.95","N/A","N/A","1.700E-05 g/L","6.14","817.656055437"
"PC(22:0/16:1(9Z))","1.23 +/- 0.46","N/A","N/A","1.890E-05 g/L","6.21","815.640405373"
"PC(22:0/18:1(11Z))","0.44(0.12)","N/A","N/A","1.660E-05 g/L","6.42","843.671705501"
"PC(22:0/18:1(9Z))","0.44(0.12)","N/A","N/A","1.660E-05 g/L","6.43","843.671705501"
"PC(22:0/18:2(9Z,12Z))","0.25 (0.2-0.37)","N/A","N/A","2.230E-05 g/L","6.41","841.656055437"
"PC(22:0/18:3(6Z,9Z,12Z))","0.54 (0.46-0.64)","N/A","N/A","1.910E-05 g/L","6.38","839.640405373"
"PC(22:0/18:3(9Z,12Z,15Z))","0.54 (0.46-0.64)","N/A","N/A","1.940E-05 g/L","6.35","839.640405373"
"PC(22:0/18:4(6Z,9Z,12Z,15Z))","4.16(1.34)","N/A","N/A","2.670E-05 g/L","6.37","837.624755309"
"PC(22:0/20:0)","0.65 +/- 0.18","N/A","N/A","1.850E-05 g/L","6.61","873.718655693"
"PC(22:0/20:1(11Z))","0.32 +/- 0.08","N/A","N/A","1.920E-05 g/L","6.61","871.703005629"
"PC(22:0/20:2(11Z,14Z))","0.25 +/- 0.07","N/A","N/A","2.090E-05 g/L","6.63","869.687355565"
"PC(22:0/20:4(5Z,8Z,11Z,14Z))","0.18 +/- 0.04","N/A","N/A","2.680E-05 g/L","6.64","865.656055437"
"PC(22:0/20:4(8Z,11Z,14Z,17Z))","0.18 +/- 0.04","N/A","N/A","2.690E-05 g/L","6.59","865.656055437"
"PC(22:0/20:5(5Z,8Z,11Z,14Z,17Z))","0.45(0.13)","N/A","N/A","2.730E-05 g/L","6.66","863.640405373"
"PC(22:0/P-16:0)","3.48 +/- 0.95","N/A","N/A","1.860E-05 g/L","6.54","801.661140815"
"PC(22:0/P-18:1(11Z))","0.44(0.12)","N/A","N/A","2.310E-05 g/L","6.76","827.676790879"
"PC(22:0/P-18:1(9Z))","0.44(0.12)","N/A","N/A","2.310E-05 g/L","6.76","827.676790879"
"PC(22:1(13Z)/14:0)","60.62(19.39)","N/A","N/A","1.950E-05 g/L","5.88","787.609105245"
"PC(22:1(13Z)/14:1(9Z))","267.03(66.1)","N/A","N/A","2.240E-05 g/L","5.78","785.593455181"
"PC(22:1(13Z)/16:0)","1.23 +/- 0.46","N/A","N/A","2.090E-05 g/L","6.18","815.640405373"
"PC(22:1(13Z)/18:0)","0.44(0.12)","N/A","N/A","1.660E-05 g/L","6.40","843.671705501"
"PC(22:1(13Z)/18:1(9Z))","0.36 (0.05-1.88)","N/A","N/A","2.360E-05 g/L","6.37","841.656055437"
"PC(22:1(13Z)/18:2(9Z,12Z))","0.47 (0.01-1.41)","N/A","N/A","2.240E-05 g/L","6.31","839.640405373"
"PC(22:1(13Z)/18:3(6Z,9Z,12Z))","4.16(1.34)","N/A","N/A","2.710E-05 g/L","6.34","837.624755309"
"PC(22:1(13Z)/18:3(9Z,12Z,15Z))","4.16(1.34)","N/A","N/A","2.720E-05 g/L","6.32","837.624755309"
"PC(22:1(13Z)/18:4(6Z,9Z,12Z,15Z))","13.85(4.15)","N/A","N/A","2.750E-05 g/L","6.30","835.609105245"
"PC(22:1(13Z)/20:0)","0.32 +/- 0.08","N/A","N/A","2.120E-05 g/L","6.60","871.703005629"
"PC(22:1(13Z)/20:1(11Z))","0.25 +/- 0.07","N/A","N/A","2.100E-05 g/L","6.60","869.687355565"
"PC(22:1(13Z)/20:3(5Z,8Z,11Z))","0.18 +/- 0.04","N/A","N/A","2.690E-05 g/L","6.60","865.656055437"
"PC(22:1(13Z)/20:3(8Z,11Z,14Z))","0.18 +/- 0.04","N/A","N/A","2.710E-05 g/L","6.56","865.656055437"
"PC(22:1(13Z)/20:4(5Z,8Z,11Z,14Z))","0.45(0.13)","N/A","N/A","2.920E-05 g/L","6.61","863.640405373"
"PC(22:1(13Z)/20:4(8Z,11Z,14Z,17Z))","0.45(0.13)","N/A","N/A","2.830E-05 g/L","6.57","863.640405373"
"PC(22:1(13Z)/20:5(5Z,8Z,11Z,14Z,17Z))","0.79(0.16)","N/A","N/A","2.940E-05 g/L","6.48","861.624755309"
"PC(22:1(13Z)/P-16:0)","1.23 +/- 0.46","N/A","N/A","2.100E-05 g/L","6.52","799.645490751"
"PC(22:1(13Z)/P-18:0)","0.44(0.12)","N/A","N/A","2.310E-05 g/L","6.75","827.676790879"
"PC(22:1(13Z)/P-18:1(11Z))","0.36 (0.05-1.88)","N/A","N/A","2.470E-05 g/L","6.75","825.661140815"
"PC(22:1(13Z)/P-18:1(9Z))","0.36 (0.05-1.88)","N/A","N/A","2.480E-05 g/L","6.75","825.661140815"
"PC(22:2(13Z,16Z)/14:0)","267.03(66.1)","N/A","N/A","2.220E-05 g/L","5.78","785.593455181"
"PC(22:2(13Z,16Z)/14:1(9Z))","165.5(44.39)","N/A","N/A","2.620E-05 g/L","5.73","783.577805117"
"PC(22:2(13Z,16Z)/16:1(9Z))","47.3 +/- 11.3","N/A","N/A","2.340E-05 g/L","6.01","811.609105245"
"PC(22:2(13Z,16Z)/18:0)","0.36 (0.05-1.88)","N/A","N/A","2.350E-05 g/L","6.38","841.656055437"
"PC(22:2(13Z,16Z)/18:1(11Z))","0.47 (0.01-1.41)","N/A","N/A","2.270E-05 g/L","6.28","839.640405373"
"PC(22:2(13Z,16Z)/18:1(9Z))","0.47 (0.01-1.41)","N/A","N/A","2.250E-05 g/L","6.30","839.640405373"
"PC(22:2(13Z,16Z)/18:2(9Z,12Z))","4.16(1.34)","N/A","N/A","2.730E-05 g/L","6.29","837.624755309"
"PC(22:2(13Z,16Z)/18:3(6Z,9Z,12Z))","13.85(4.15)","N/A","N/A","2.780E-05 g/L","6.27","835.609105245"
"PC(22:2(13Z,16Z)/18:3(9Z,12Z,15Z))","13.85(4.15)","N/A","N/A","2.780E-05 g/L","6.27","835.609105245"
"PC(22:2(13Z,16Z)/18:4(6Z,9Z,12Z,15Z))","27.8 +/- 8.8","N/A","N/A","2.960E-05 g/L","6.10","833.593455181"
"PC(22:2(13Z,16Z)/20:0)","0.25 +/- 0.07","N/A","N/A","2.090E-05 g/L","6.62","869.687355565"
"PC(22:2(13Z,16Z)/20:2(11Z,14Z))","0.18 +/- 0.04","N/A","N/A","2.710E-05 g/L","6.53","865.656055437"
"PC(22:2(13Z,16Z)/20:3(5Z,8Z,11Z))","0.45(0.13)","N/A","N/A","2.950E-05 g/L","6.60","863.640405373"
"PC(22:2(13Z,16Z)/20:3(8Z,11Z,14Z))","0.45(0.13)","N/A","N/A","2.770E-05 g/L","6.56","863.640405373"
"PC(22:2(13Z,16Z)/20:4(5Z,8Z,11Z,14Z))","0.79(0.16)","N/A","N/A","2.940E-05 g/L","6.44","861.624755309"
"PC(22:2(13Z,16Z)/20:4(8Z,11Z,14Z,17Z))","0.79(0.16)","N/A","N/A","2.930E-05 g/L","6.40","861.624755309"
"PC(22:2(13Z,16Z)/P-18:0)","0.36 (0.05-1.88)","N/A","N/A","2.460E-05 g/L","6.76","825.661140815"
"PC(22:2(13Z,16Z)/P-18:1(11Z))","0.47 (0.01-1.41)","N/A","N/A","2.740E-05 g/L","6.66","823.645490751"
"PC(22:2(13Z,16Z)/P-18:1(9Z))","0.47 (0.01-1.41)","N/A","N/A","2.720E-05 g/L","6.66","823.645490751"
"PC(22:4(7Z,10Z,13Z,16Z)/14:0)","228.74(50.69)","N/A","N/A","3.060E-05 g/L","5.72","781.562155053"
"PC(22:4(7Z,10Z,13Z,16Z)/14:1(9Z))","46.61(21.41)","N/A","N/A","3.120E-05 g/L","5.55","779.546504989"
"PC(22:4(7Z,10Z,13Z,16Z)/16:0)","147.79(39.15)","N/A","N/A","2.870E-05 g/L","6.04","809.593455181"
"PC(22:4(7Z,10Z,13Z,16Z)/16:1(9Z))","81.9(19.68)","N/A","N/A","2.840E-05 g/L","5.90","807.577805117"
"PC(22:4(7Z,10Z,13Z,16Z)/18:0)","4.16(1.34)","N/A","N/A","2.710E-05 g/L","6.33","837.624755309"
"PC(22:4(7Z,10Z,13Z,16Z)/18:1(11Z))","13.85(4.15)","N/A","N/A","2.780E-05 g/L","6.28","835.609105245"
"PC(22:4(7Z,10Z,13Z,16Z)/18:1(9Z))","13.85(4.15)","N/A","N/A","2.780E-05 g/L","6.27","835.609105245"
"PC(22:4(7Z,10Z,13Z,16Z)/18:2(9Z,12Z))","27.8 +/- 8.8","N/A","N/A","2.980E-05 g/L","6.09","833.593455181"
"PC(22:4(7Z,10Z,13Z,16Z)/20:0)","0.18 +/- 0.04","N/A","N/A","2.720E-05 g/L","6.60","865.656055437"
"PC(22:4(7Z,10Z,13Z,16Z)/20:1(11Z))","0.32 +/- 0.11","N/A","N/A","2.770E-05 g/L","6.57","863.640405373"
"PC(22:4(7Z,10Z,13Z,16Z)/20:2(11Z,14Z))","0.79(0.16)","N/A","N/A","2.930E-05 g/L","6.40","861.624755309"
"PC(22:4(7Z,10Z,13Z,16Z)/P-16:0)","101.6 +/- 22.6","N/A","N/A","3.410E-05 g/L","6.39","793.598540559"
"PC(22:4(7Z,10Z,13Z,16Z)/P-18:0)","4.16(1.34)","N/A","N/A","3.300E-05 g/L","6.69","821.629840687"
"PC(22:4(7Z,10Z,13Z,16Z)/P-18:1(11Z))","13.85(4.15)","N/A","N/A","3.660E-05 g/L","6.61","819.614190623"
"PC(22:4(7Z,10Z,13Z,16Z)/P-18:1(9Z))","13.85(4.15)","N/A","N/A","3.660E-05 g/L","6.62","819.614190623"
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/14:0)","46.61(21.41)","N/A","N/A","3.010E-05 g/L","5.63","779.546504989"
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/14:1(9Z))","1.16 +/- 0.47","N/A","N/A","3.310E-05 g/L","5.43","777.530854925"
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/16:0)","81.9(19.68)","N/A","N/A","2.800E-05 g/L","5.98","807.577805117"
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/16:1(9Z))","103.41(31.68)","N/A","N/A","3.080E-05 g/L","5.78","805.562155053"
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/18:0)","13.85(4.15)","N/A","N/A","2.770E-05 g/L","6.37","835.609105245"
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/18:1(11Z))","27.8 +/- 8.8","N/A","N/A","2.950E-05 g/L","6.15","833.593455181"
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/18:1(9Z))","27.8 +/- 8.8","N/A","N/A","2.940E-05 g/L","6.16","833.593455181"
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/20:0)","0.32 +/- 0.11","N/A","N/A","2.780E-05 g/L","6.65","863.640405373"
"PC(22:5(4Z,7Z,10Z,13Z,16Z)/20:1(11Z))","0.78 (0.52-1.96)","N/A","N/A","2.950E-05 g/L","6.51","861.624755309"
